id,sample,comment,type,sT,sP,expdataset,weight,phase.Gibbsite-H.DC.Gibbsite-H.UMC,comp.AlO(OH),unit,comp.H2O,unit,comp.NaCl,unit,comp.HCl,unit,comp.NaOH,unit,phase.aq_gen.pH,phase.aq_gen.IC.Al.Q,unit
108,Ben_108,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00870937,,,,3.719,2.15774E-07,molal
109,Ben_109,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00432136,,,,4.031,1.46555E-07,molal
110,Ben_110,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000722587,,,,4.79,2.11349E-07,molal
111,Ben_111,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000646562,,,,4.841,2.39332E-07,molal
112,Ben_112,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000265907,,,,5.197,3.1842E-07,molal
113,Ben_113,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000265907,,,,5.197,6.36796E-07,molal
114,Ben_114,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000225405,,,,5.26,1.99067E-07,molal
115,Ben_115,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000148373,,,,5.383,2.98538E-07,molal
116,Ben_116,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.000978306,g,6.757,9.01571E-06,molal
117,Ben_117,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00359944,g,7.324,3.56451E-05,molal
118,Ben_118,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00549447,g,7.503,5.8479E-05,molal
119,Ben_119,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.037797,g,8.337,0.000359749,molal
120,Ben_120,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.037797,g,8.337,0.000366438,molal
121,Ben_121,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0458326,g,8.416,0.000437522,molal
122,Ben_122,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0458326,g,8.417,0.000440555,molal
123,Ben_123,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0603688,g,8.538,0.000591562,molal
124,Ben_124,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0603688,g,8.538,0.000572796,molal
125,Ben_125,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0603688,g,8.545,0.000618016,molal
126,Ben_126,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0603688,g,8.546,0.000618016,molal
127,Ben_127,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0628697,g,8.556,0.000797995,molal
128,Ben_128,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0643853,g,8.571,0.000799834,molal
129,Ben_129,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.139009,g,8.892,0.001749847,molal
130,Ben_130,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.139665,g,,,2.526,6.54636E-06,molal
