id,sample,expdataset,sT,sP,comp.H2,unit,comp.H2O,unit,comp.NaCl,unit,phase.Pitzer_NaCl.RHO,unit,error
139,Ar139,Archer_syn,150,900,0.00001,molal,1000,g,0.5,molal,0.979415,g/cm3,
140,Ar140,Archer_syn,150,1000,0.00001,molal,1000,g,0.5,molal,0.983453,g/cm3,
141,Ar141,Archer_syn,175,50,0.00001,molal,1000,g,0.5,molal,0.916284,g/cm3,
142,Ar142,Archer_syn,175,100,0.00001,molal,1000,g,0.5,molal,0.919266,g/cm3,
143,Ar143,Archer_syn,175,200,0.00001,molal,1000,g,0.5,molal,0.925031,g/cm3,
144,Ar144,Archer_syn,175,300,0.00001,molal,1000,g,0.5,molal,0.930554,g/cm3,
145,Ar145,Archer_syn,175,400,0.00001,molal,1000,g,0.5,molal,0.93586,g/cm3,
146,Ar146,Archer_syn,175,500,0.00001,molal,1000,g,0.5,molal,0.940969,g/cm3,
147,Ar147,Archer_syn,175,600,0.00001,molal,1000,g,0.5,molal,0.945899,g/cm3,
148,Ar148,Archer_syn,175,700,0.00001,molal,1000,g,0.5,molal,0.950663,g/cm3,
149,Ar149,Archer_syn,25,50,0.00001,molal,1000,g,1,molal,1.03826,g/cm3,
150,Ar150,Archer_syn,25,100,0.00001,molal,1000,g,1,molal,1.04034,g/cm3,
151,Ar151,Archer_syn,25,200,0.00001,molal,1000,g,1,molal,1.04442,g/cm3,
152,Ar152,Archer_syn,25,300,0.00001,molal,1000,g,1,molal,1.04842,g/cm3,
153,Ar153,Archer_syn,25,400,0.00001,molal,1000,g,1,molal,1.05235,g/cm3,
154,Ar154,Archer_syn,25,500,0.00001,molal,1000,g,1,molal,1.05621,g/cm3,
155,Ar155,Archer_syn,25,600,0.00001,molal,1000,g,1,molal,1.06,g/cm3,
156,Ar156,Archer_syn,25,700,0.00001,molal,1000,g,1,molal,1.06372,g/cm3,
157,Ar157,Archer_syn,25,800,0.00001,molal,1000,g,1,molal,1.06738,g/cm3,
158,Ar158,Archer_syn,25,900,0.00001,molal,1000,g,1,molal,1.07098,g/cm3,
159,Ar159,Archer_syn,25,1000,0.00001,molal,1000,g,1,molal,1.07453,g/cm3,
160,Ar160,Archer_syn,50,50,0.00001,molal,1000,g,1,molal,1.02787,g/cm3,
161,Ar161,Archer_syn,50,100,0.00001,molal,1000,g,1,molal,1.02989,g/cm3,
162,Ar162,Archer_syn,50,200,0.00001,molal,1000,g,1,molal,1.03389,g/cm3,
163,Ar163,Archer_syn,50,300,0.00001,molal,1000,g,1,molal,1.0378,g/cm3,
164,Ar164,Archer_syn,50,400,0.00001,molal,1000,g,1,molal,1.04164,g/cm3,
165,Ar165,Archer_syn,50,500,0.00001,molal,1000,g,1,molal,1.0454,g/cm3,
166,Ar166,Archer_syn,50,600,0.00001,molal,1000,g,1,molal,1.0491,g/cm3,
167,Ar167,Archer_syn,50,700,0.00001,molal,1000,g,1,molal,1.05273,g/cm3,
168,Ar168,Archer_syn,50,800,0.00001,molal,1000,g,1,molal,1.0563,g/cm3,
169,Ar169,Archer_syn,50,900,0.00001,molal,1000,g,1,molal,1.05981,g/cm3,
170,Ar170,Archer_syn,50,1000,0.00001,molal,1000,g,1,molal,1.06326,g/cm3,
171,Ar171,Archer_syn,75,50,0.00001,molal,1000,g,1,molal,1.01434,g/cm3,
172,Ar172,Archer_syn,75,100,0.00001,molal,1000,g,1,molal,1.01641,g/cm3,
173,Ar173,Archer_syn,75,200,0.00001,molal,1000,g,1,molal,1.02048,g/cm3,
174,Ar174,Archer_syn,75,300,0.00001,molal,1000,g,1,molal,1.02446,g/cm3,
175,Ar175,Archer_syn,75,400,0.00001,molal,1000,g,1,molal,1.02835,g/cm3,
176,Ar176,Archer_syn,75,500,0.00001,molal,1000,g,1,molal,1.03215,g/cm3,
177,Ar177,Archer_syn,75,600,0.00001,molal,1000,g,1,molal,1.03589,g/cm3,
178,Ar178,Archer_syn,75,700,0.00001,molal,1000,g,1,molal,1.03955,g/cm3,
179,Ar179,Archer_syn,75,800,0.00001,molal,1000,g,1,molal,1.04314,g/cm3,
180,Ar180,Archer_syn,75,900,0.00001,molal,1000,g,1,molal,1.04667,g/cm3,
181,Ar181,Archer_syn,75,1000,0.00001,molal,1000,g,1,molal,1.05013,g/cm3,
182,Ar182,Archer_syn,100,50,0.00001,molal,1000,g,1,molal,0.998233,g/cm3,
183,Ar183,Archer_syn,100,100,0.00001,molal,1000,g,1,molal,1.00041,g/cm3,
184,Ar184,Archer_syn,100,200,0.00001,molal,1000,g,1,molal,1.00466,g/cm3,
